responseTime,sentenceIndex,Index,mousePositionX,mousePositionY,TrueAnswer,userName,Word,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,response,experiment_start_time,experiment_end_time,experiment_duration
545,"NA",-1,527,123,"NA","Cristina","","","","","","",1743181162418,1743181207046,44628
695,"NA",-1,563,110,"NA","Cristina","","","","","","","","",""
745,"85","0",650,143,"Nu","Cristina"," Clătirea ",121.03125,595.625,145.03125,664.890625,"","","",""
795,"NA",-1,702,160,"NA","Cristina","","","","","","","","",""
845,"NA",-1,735,158,"NA","Cristina","","","","","","","","",""
895,"85","4",780,149,"Nu","Cristina"," îndepărtează ",121.03125,770.78125,145.03125,886.359375,"","","",""
944,"85","4",841,137,"Nu","Cristina"," îndepărtează ",121.03125,770.78125,145.03125,886.359375,"","","",""
995,"85","5",923,134,"Nu","Cristina"," cristalul ",121.03125,886.359375,145.03125,957.390625,"","","",""
1045,"85","6",980,133,"Nu","Cristina"," violet ",121.03125,957.390625,145.03125,1008.046875,"","","",""
1096,"85","7",1037,135,"Nu","Cristina"," care ",121.03125,1008.046875,145.03125,1048.703125,"","","",""
1145,"85","8",1049,136,"Nu","Cristina"," maschează ",121.03125,1048.703125,145.03125,1147.515625,"","","",""
1195,"85","7",1038,136,"Nu","Cristina"," care ",121.03125,1008.046875,145.03125,1048.703125,"","","",""
1245,"85","5",941,136,"Nu","Cristina"," cristalul ",121.03125,886.359375,145.03125,957.390625,"","","",""
1295,"85","3",748,136,"Nu","Cristina"," nu ",121.03125,743.84375,145.03125,770.78125,"","","",""
1345,"85","0",656,136,"Nu","Cristina"," Clătirea ",121.03125,595.625,145.03125,664.890625,"","","",""
1396,"85","0",629,146,"Nu","Cristina"," Clătirea ",121.03125,595.625,145.03125,664.890625,"","","",""
1445,"85","0",617,152,"Nu","Cristina"," Clătirea ",121.03125,595.625,145.03125,664.890625,"","","",""
1495,"NA",-1,605,157,"NA","Cristina","","","","","","","","",""
1544,"NA",-1,610,159,"NA","Cristina","","","","","","","","",""
1595,"85","12",671,171,"Nu","Cristina"," adăugat. ",161.03125,662.21875,185.03125,737.109375,"","","",""
1645,"85","12",701,186,"Nu","Cristina"," adăugat. ",161.03125,662.21875,185.03125,737.109375,"","","",""
1695,"NA",-1,713,198,"NA","Cristina","","","","","","","","",""
3080,"","","","","","","","","","","","Da","","",""
215,"NA",-1,571,225,"NA","Cristina","","","","","","","","",""
264,"NA",-1,590,188,"NA","Cristina","","","","","","","","",""
315,"99","14",614,170,"Nu","Cristina"," acela ",161.03125,595.625,185.03125,643.9375,"","","",""
365,"99","14",628,165,"Nu","Cristina"," acela ",161.03125,595.625,185.03125,643.9375,"","","",""
411,"99","16",667,165,"Nu","Cristina"," ne ",161.03125,667.359375,185.03125,693.328125,"","","",""
465,"NA",-1,710,156,"NA","Cristina","","","","","","","","",""
515,"99","2",765,146,"Nu","Cristina"," pentru ",121.03125,741.953125,145.03125,804.046875,"","","",""
565,"99","3",823,135,"Nu","Cristina"," care ",121.03125,804.046875,145.03125,844.703125,"","","",""
613,"99","4",869,134,"Nu","Cristina"," nu ",121.03125,844.703125,145.03125,871.640625,"","","",""
660,"99","6",925,138,"Nu","Cristina"," permit ",121.03125,895.109375,145.03125,956.421875,"","","",""
715,"99","7",990,147,"Nu","Cristina"," mai ",121.03125,956.421875,145.03125,992.6875,"","","",""
765,"99","9",1047,153,"Nu","Cristina"," ieșiri ",121.03125,1046.625,145.03125,1091.453125,"","","",""
815,"99","10",1112,153,"Nu","Cristina"," cu ",121.03125,1091.453125,145.03125,1115.90625,"","","",""
861,"99","11",1155,153,"Nu","Cristina"," aceeași ",121.03125,1115.90625,145.03125,1183,"","","",""
915,"99","11",1158,153,"Nu","Cristina"," aceeași ",121.03125,1115.90625,145.03125,1183,"","","",""
965,"99","25",1135,164,"Nu","Cristina"," ale ",161.03125,1130.171875,185.03125,1159.75,"","","",""
1016,"99","23",1066,187,"Nu","Cristina"," diferite ",161.03125,1008.515625,185.03125,1073.984375,"","","",""
1063,"99","21",960,190,"Nu","Cristina"," funcție ",161.03125,926.015625,185.03125,989.078125,"","","",""
1111,"99","20",887,189,"Nu","Cristina"," aceeași ",161.03125,858.921875,185.03125,926.015625,"","","",""
1165,"99","19",848,186,"Nu","Cristina"," aplicăm ",161.03125,788.203125,185.03125,858.921875,"","","",""
1216,"99","19",793,186,"Nu","Cristina"," aplicăm ",161.03125,788.203125,185.03125,858.921875,"","","",""
1264,"99","17",738,187,"Nu","Cristina"," permite ",161.03125,693.328125,185.03125,764.796875,"","","",""
1311,"99","15",657,193,"Nu","Cristina"," că ",161.03125,643.9375,185.03125,667.359375,"","","",""
1365,"NA",-1,590,197,"NA","Cristina","","","","","","","","",""
1415,"NA",-1,583,201,"NA","Cristina","","","","","","","","",""
1464,"99","28",601,209,"Nu","Cristina"," fără ",201.03125,595.625,225.03125,633.78125,"","","",""
1515,"99","30",693,216,"Nu","Cristina"," schimba ",201.03125,648.5625,225.03125,724.28125,"","","",""
1562,"99","31",744,216,"Nu","Cristina"," echivalența ",201.03125,724.28125,225.03125,825.28125,"","","",""
1610,"99","31",779,217,"Nu","Cristina"," echivalența ",201.03125,724.28125,225.03125,825.28125,"","","",""
1664,"NA",-1,857,238,"NA","Cristina","","","","","","","","",""
2960,"","","","","","","","","","","","Da","","",""
256,"149","18",628,177,"Da","Cristina"," primul ",161.03125,595.625,185.03125,656.0625,"","","",""
305,"149","1",625,126,"Da","Cristina"," lângă ",121.03125,621.359375,145.03125,673.078125,"","","",""
355,"NA",-1,622,110,"NA","Cristina","","","","","","","","",""
405,"NA",-1,645,118,"NA","Cristina","","","","","","","","",""
455,"149","2",685,133,"Da","Cristina"," faptul ",121.03125,673.078125,145.03125,727.390625,"","","",""
505,"149","3",737,151,"Da","Cristina"," că ",121.03125,727.390625,145.03125,750.8125,"","","",""
555,"NA",-1,784,156,"NA","Cristina","","","","","","","","",""
605,"149","6",831,146,"Da","Cristina"," regină ",121.03125,802.484375,145.03125,861.328125,"","","",""
656,"149","8",887,137,"Da","Cristina"," Regatului ",121.03125,876.109375,145.03125,961.34375,"","","",""
705,"149","9",970,137,"Da","Cristina"," Unit ",121.03125,961.34375,145.03125,1001.453125,"","","",""
755,"149","11",1033,136,"Da","Cristina"," Marii ",121.03125,1020.890625,145.03125,1068.71875,"","","",""
