responseTime,sentenceIndex,Index,mousePositionX,mousePositionY,TrueAnswer,userName,experiment,Word,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,response,experiment_start_time,experiment_end_time,experiment_duration
2388,"106","16",509,202,"Da","cris","local_coherence"," provocat ",171.6666717529297,497.566650390625,196.46665954589844,576.1833190917969,"","","",""
2452,"106","17",622,202,"Da","cris","local_coherence"," întârzieri ",171.6666717529297,576.183349609375,196.46665954589844,656.0166778564453,"","","",""
2514,"106","19",686,202,"Da","cris","local_coherence"," neplăceri ",171.6666717529297,673.9666748046875,196.46665954589844,756.6000213623047,"","","",""
2575,"106","20",770,202,"Da","cris","local_coherence"," din ",171.6666717529297,756.5999755859375,196.46665954589844,788.1166381835938,"","","",""
2637,"106","22",855,194,"Da","cris","local_coherence"," necesității ",171.6666717529297,841.2166748046875,196.46665954589844,931.6166839599609,"","","",""
2699,"106","22",899,194,"Da","cris","local_coherence"," necesității ",171.6666717529297,841.2166748046875,196.46665954589844,931.6166839599609,"","","",""
2762,"106","23",951,193,"Da","cris","local_coherence"," de ",171.6666717529297,931.61669921875,196.46665954589844,957.5166931152344,"","","",""
2824,"106","25",1006,190,"Da","cris","local_coherence"," muta ",171.6666717529297,972.2999877929688,196.46665954589844,1021.5333251953125,"","","",""
2887,"106","26",1087,190,"Da","cris","local_coherence"," oglinda ",171.6666717529297,1021.5333251953125,196.46665954589844,1089.749984741211,"","","",""
2948,"106","27",1104,192,"Da","cris","local_coherence"," în ",171.6666717529297,1089.75,196.46665954589844,1105.5166625976562,"","","",""
3011,"106","25",990,202,"Da","cris","local_coherence"," muta ",171.6666717529297,972.2999877929688,196.46665954589844,1021.5333251953125,"","","",""
3073,"106","19",755,202,"Da","cris","local_coherence"," neplăceri ",171.6666717529297,673.9666748046875,196.46665954589844,756.6000213623047,"","","",""
3135,"106","30",558,232,"Da","cris","local_coherence"," focal ",226.6666717529297,528.86669921875,251.46665954589844,574.0166931152344,"","","",""
3197,"106","29",490,233,"Da","cris","local_coherence"," planului ",226.6666717529297,455.7166748046875,251.46665954589844,528.8666839599609,"","","",""
3260,"106","29",467,238,"Da","cris","local_coherence"," planului ",226.6666717529297,455.7166748046875,251.46665954589844,528.8666839599609,"","","",""
3323,"106","28",442,251,"Da","cris","local_coherence"," afara ",226.6666717529297,407.4666748046875,251.46665954589844,455.7166748046875,"","","",""
3385,"106","28",453,252,"Da","cris","local_coherence"," afara ",226.6666717529297,407.4666748046875,251.46665954589844,455.7166748046875,"","","",""
3447,"106","29",511,252,"Da","cris","local_coherence"," planului ",226.6666717529297,455.7166748046875,251.46665954589844,528.8666839599609,"","","",""
3509,"106","31",586,252,"Da","cris","local_coherence"," pentru ",226.6666717529297,574.0166625976562,251.46665954589844,636.0833282470703,"","","",""
3571,"106","32",641,247,"Da","cris","local_coherence"," a ",226.6666717529297,636.0833129882812,251.46665954589844,650.8666534423828,"","","",""
3634,"106","34",728,238,"Da","cris","local_coherence"," luminii ",226.6666717529297,722.3333129882812,251.46665954589844,784.6833190917969,"","","",""
3696,"106","35",786,238,"Da","cris","local_coherence"," să ",226.6666717529297,784.683349609375,251.46665954589844,808.0833435058594,"","","",""
3758,"106","36",868,238,"Da","cris","local_coherence"," ajungă ",226.6666717529297,808.0833129882812,251.46665954589844,870.9166564941406,"","","",""
3820,"106","38",910,242,"Da","cris","local_coherence"," placa ",226.6666717529297,890.3499755859375,251.46665954589844,939.5832977294922,"","","",""
3883,"106","38",924,242,"Da","cris","local_coherence"," placa ",226.6666717529297,890.3499755859375,251.46665954589844,939.5832977294922,"","","",""
3944,"106","40",974,242,"Da","cris","local_coherence"," spatele ",226.6666717529297,971.0999755859375,251.46665954589844,1037.0166320800781,"","","",""
4007,"106","40",1037,251,"Da","cris","local_coherence"," spatele ",226.6666717529297,971.0999755859375,251.46665954589844,1037.0166320800781,"","","",""
4071,"NA",-1,1062,257,"NA","cris","","","","","","","","","",""
4135,"NA",-1,1064,258,"NA","cris","","","","","","","","","",""
4197,"NA",-1,1017,280,"NA","cris","","","","","","","","","",""
5990,"","","","","","","","","","","","","Da","","",""
