responseTime,Index,mousePositionX,mousePositionY,TrueAnswer,userName,sentenceIndex,Word,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,response,experiment_start_time,experiment_end_time,experiment_duration
4721,"27",763,133,"Da","Cristina","64"," politice ",125.9375,720.1749877929688,150.73750114440918,786.0374908447266,"","","",""
4773,"27",762,134,"Da","Cristina","64"," politice ",125.9375,720.1749877929688,150.73750114440918,786.0374908447266,"","","",""
4824,"26",670,149,"Da","Cristina","64"," partidele ",125.9375,639.7250366210938,150.73750114440918,720.1750411987305,"","","",""
4871,-1,520,164,"No answer found","Cristina","","","","","","","","","",""
4928,-1,368,164,"No answer found","Cristina","","","","","","","","","",""
4973,-1,293,164,"No answer found","Cristina","","","","","","","","","",""
5024,"30",201,176,"Da","Cristina","64"," raportarea ",165.9375,121.9124984741211,190.73750114440918,217.0875015258789,"","","",""
5071,"29",116,181,"Da","Cristina","64"," cu ",165.9375,97.4625015258789,190.73750114440918,121.91250228881836,"","","",""
5121,-1,92,187,"No answer found","Cristina","","","","","","","","","",""
5172,-1,92,189,"No answer found","Cristina","","","","","","","","","",""
5221,"30",144,189,"Da","Cristina","64"," raportarea ",165.9375,121.9124984741211,190.73750114440918,217.0875015258789,"","","",""
5271,"31",237,187,"Da","Cristina","64"," către ",165.9375,217.08750915527344,190.73750114440918,264.23751068115234,"","","",""
5325,"32",306,188,"Da","Cristina","64"," superiorii ",165.9375,264.2375183105469,190.73750114440918,349.58751678466797,"","","",""
5373,"33",352,189,"Da","Cristina","64"," săi ",165.9375,349.5874938964844,190.73750114440918,377.63749504089355,"","","",""
5424,"35",406,189,"Da","Cristina","64"," privire ",165.9375,402.0874938964844,190.73750114440918,460.93749618530273,"","","",""
5472,"35",452,189,"Da","Cristina","64"," privire ",165.9375,402.0874938964844,190.73750114440918,460.93749618530273,"","","",""
5523,"37",500,189,"Da","Cristina","64"," activitățile ",165.9375,480.3625183105469,190.73750114440918,571.2500228881836,"","","",""
5572,"37",558,189,"Da","Cristina","64"," activitățile ",165.9375,480.3625183105469,190.73750114440918,571.2500228881836,"","","",""
5621,"38",594,189,"Da","Cristina","64"," acestora. ",165.9375,571.25,190.73750114440918,648.1500015258789,"","","",""
5679,"38",596,189,"Da","Cristina","64"," acestora. ",165.9375,571.25,190.73750114440918,648.1500015258789,"","","",""
5726,"38",599,191,"Da","Cristina","64"," acestora. ",165.9375,571.25,190.73750114440918,648.1500015258789,"","","",""
5772,"38",622,197,"Da","Cristina","64"," acestora. ",165.9375,571.25,190.73750114440918,648.1500015258789,"","","",""
5823,-1,629,201,"No answer found","Cristina","","","","","","","","","",""
7784,"","","","","","","","","","","","Da","","",""
