responseTime,sentenceIndex,Index,mousePositionX,mousePositionY,TrueAnswer,userName,Word,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,response,experiment_start_time,experiment_end_time,experiment_duration
304,"NA",-1,576,183,"NA","Cristina","","","","","","",1743183342687,1743183357640,14953
352,"NA",-1,581,137,"NA","Cristina","","","","","","","","",""
407,"123","0",600,128,"Nu","Cristina"," Aceasta ",121.03125,595.625,145.03125,665.921875,"","","",""
453,"NA",-1,663,120,"NA","Cristina","","","","","","","","",""
504,"123","2",781,142,"Nu","Cristina"," predarea, ",121.03125,732,145.03125,818.296875,"","","",""
552,"123","3",856,150,"Nu","Cristina"," practica ",121.03125,818.296875,145.03125,889.75,"","","",""
608,"123","4",919,146,"Nu","Cristina"," generală ",121.03125,889.75,145.03125,968.84375,"","","",""
654,"123","5",982,137,"Nu","Cristina"," a ",121.03125,968.84375,145.03125,983.625,"","","",""
704,"123","7",1121,153,"Nu","Cristina"," cercetarea ",121.03125,1075.03125,145.03125,1168.296875,"","","",""
752,"123","15",1151,169,"Nu","Cristina"," socială, ",161.03125,1143.703125,185.03125,1210.84375,"","","",""
809,"123","14",1133,178,"Nu","Cristina"," munca ",161.03125,1081.203125,185.03125,1143.703125,"","","",""
855,"123","13",1032,185,"Nu","Cristina"," misionară, ",161.03125,987.671875,185.03125,1081.203125,"","","",""
902,"123","11",862,185,"Nu","Cristina"," antreprenoriatul, ",161.03125,775.96875,185.03125,925.171875,"","","",""
952,"123","10",765,185,"Nu","Cristina"," religioase, ",161.03125,684.46875,185.03125,775.96875,"","","",""
1012,"123","10",728,185,"Nu","Cristina"," religioase, ",161.03125,684.46875,185.03125,775.96875,"","","",""
1058,"123","10",724,189,"Nu","Cristina"," religioase, ",161.03125,684.46875,185.03125,775.96875,"","","",""
1104,"123","18",743,210,"Nu","Cristina"," artele ",201.03125,702.15625,225.03125,755.828125,"","","",""
1152,"123","19",815,219,"Nu","Cristina"," creative, ",201.03125,755.828125,225.03125,831.734375,"","","",""
1213,"123","21",916,219,"Nu","Cristina"," radiodifuziunea, ",201.03125,899.546875,225.03125,1041.46875,"","","",""
1260,"123","21",998,232,"Nu","Cristina"," radiodifuziunea, ",201.03125,899.546875,225.03125,1041.46875,"","","",""
1304,"123","28",1020,255,"Nu","Cristina"," consilierea, ",241.03125,929.140625,265.03125,1029.34375,"","","",""
2977,"","","","","","","","","","","","Da","","",""
327,"65","2",706,131,"Nu","Cristina"," carnea ",121.03125,666.078125,145.03125,728.3125,"","","",""
375,"65","3",739,122,"Nu","Cristina"," se ",121.03125,728.3125,145.03125,751.78125,"","","",""
437,"65","4",794,122,"Nu","Cristina"," înmoaie ",121.03125,751.78125,145.03125,824.84375,"","","",""
479,"65","6",843,129,"Nu","Cristina"," își ",121.03125,842.796875,145.03125,865.390625,"","","",""
527,"65","7",870,131,"Nu","Cristina"," dezvoltă ",121.03125,865.390625,145.03125,940.859375,"","","",""
575,"65","7",905,129,"Nu","Cristina"," dezvoltă ",121.03125,865.390625,145.03125,940.859375,"","","",""
639,"65","8",971,129,"Nu","Cristina"," mai ",121.03125,940.859375,145.03125,977.125,"","","",""
687,"65","9",1005,129,"Nu","Cristina"," mult ",121.03125,977.125,145.03125,1020.90625,"","","",""
727,"65","10",1073,129,"Nu","Cristina"," gustul, ",121.03125,1020.90625,145.03125,1083.5,"","","",""
775,"65","12",1112,129,"Nu","Cristina"," pentru ",121.03125,1110.359375,145.03125,1172.453125,"","","",""
837,"65","12",1146,136,"Nu","Cristina"," pentru ",121.03125,1110.359375,145.03125,1172.453125,"","","",""
887,"65","12",1157,142,"Nu","Cristina"," pentru ",121.03125,1110.359375,145.03125,1172.453125,"","","",""
927,"65","12",1151,155,"Nu","Cristina"," pentru ",121.03125,1110.359375,145.03125,1172.453125,"","","",""
975,"65","25",1093,177,"Nu","Cristina"," proces ",161.03125,1082.5,185.03125,1143.640625,"","","",""
1037,"65","22",957,179,"Nu","Cristina"," cu ",161.03125,934.53125,185.03125,958.984375,"","","",""
1087,"65","21",852,179,"Nu","Cristina"," prelungit ",161.03125,852.4375,185.03125,934.53125,"","","",""
1127,"65","19",808,179,"Nu","Cristina"," poate ",161.03125,783.515625,185.03125,836.90625,"","","",""
1175,"65","18",774,179,"Nu","Cristina"," proces ",161.03125,722.375,185.03125,783.515625,"","","",""
1237,"65","18",735,179,"Nu","Cristina"," proces ",161.03125,722.375,185.03125,783.515625,"","","",""
1287,"65","17",710,179,"Nu","Cristina"," acest ",161.03125,673.671875,185.03125,722.375,"","","",""
1327,"65","18",722,186,"Nu","Cristina"," proces ",161.03125,722.375,185.03125,783.515625,"","","",""
3039,"","","","","","","","","","","","Da","","",""
196,"NA",-1,704,285,"NA","Cristina","","","","","","","","",""
244,"114","27",696,219,"Da","Cristina"," asemenea, ",201.03125,621.53125,225.03125,718.265625,"","","",""
289,"114","27",717,206,"Da","Cristina"," asemenea, ",201.03125,621.53125,225.03125,718.265625,"","","",""
336,"114","14",736,191,"Da","Cristina"," argoului ",161.03125,667.140625,185.03125,742.671875,"","","",""
398,"114","16",768,169,"Da","Cristina"," limba ",161.03125,763.125,185.03125,815.09375,"","","",""
446,"114","3",800,155,"Da","Cristina"," cât ",121.03125,793.984375,145.03125,823.90625,"","","",""
489,"114","4",839,145,"Da","Cristina"," de ",121.03125,823.90625,145.03125,849.8125,"","","",""
536,"114","5",869,140,"Da","Cristina"," mult ",121.03125,849.8125,145.03125,893.59375,"","","",""
598,"114","6",910,140,"Da","Cristina"," argou ",121.03125,893.59375,145.03125,948.71875,"","","",""
647,"114","7",955,139,"Da","Cristina"," folosiți ",121.03125,948.71875,145.03125,1010.4375,"","","",""
688,"114","7",1009,139,"Da","Cristina"," folosiți ",121.03125,948.71875,145.03125,1010.4375,"","","",""
736,"114","9",1065,139,"Da","Cristina"," limba ",121.03125,1030.890625,145.03125,1082.859375,"","","",""
787,"114","11",1131,139,"Da","Cristina"," maternă, ",121.03125,1121.203125,145.03125,1202.953125,"","","",""
848,"114","11",1164,147,"Da","Cristina"," maternă, ",121.03125,1121.203125,145.03125,1202.953125,"","","",""
889,"114","23",1167,164,"Da","Cristina"," fluență) ",161.03125,1156.703125,185.03125,1226.625,"","","",""
936,"114","22",1133,176,"Da","Cristina"," de ",161.03125,1130.796875,185.03125,1156.703125,"","","",""
991,"114","20",1058,178,"Da","Cristina"," nivelul ",161.03125,1032.296875,185.03125,1092.453125,"","","",""
1038,"114","18",1003,178,"Da","Cristina"," (proporțional ",161.03125,891.4375,185.03125,1007.84375,"","","",""
1088,"114","18",952,179,"Da","Cristina"," (proporțional ",161.03125,891.4375,185.03125,1007.84375,"","","",""
1136,"114","18",896,179,"Da","Cristina"," (proporțional ",161.03125,891.4375,185.03125,1007.84375,"","","",""
1194,"114","17",824,179,"Da","Cristina"," franceză ",161.03125,815.09375,185.03125,891.4375,"","","",""
1241,"114","15",751,183,"Da","Cristina"," în ",161.03125,742.671875,185.03125,763.125,"","","",""
1287,"114","14",732,187,"Da","Cristina"," argoului ",161.03125,667.140625,185.03125,742.671875,"","","",""
1336,"NA",-1,737,199,"NA","Cristina","","","","","","","","",""
1396,"114","29",764,208,"Da","Cristina"," de ",201.03125,748.1875,225.03125,774.09375,"","","",""
1442,"114","30",810,212,"Da","Cristina"," mult ",201.03125,774.09375,225.03125,817.875,"","","",""
1489,"114","31",862,216,"Da","Cristina"," sunteți ",201.03125,817.875,225.03125,881.21875,"","","",""
1536,"114","32",906,216,"Da","Cristina"," tratat ",201.03125,881.21875,225.03125,932.671875,"","","",""
1597,"114","33",953,216,"Da","Cristina"," cu ",201.03125,932.671875,225.03125,957.125,"","","",""
1643,"114","34",1001,216,"Da","Cristina"," condescendență ",201.03125,957.125,225.03125,1101.171875,"","","",""
1689,"114","34",1061,216,"Da","Cristina"," condescendență ",201.03125,957.125,225.03125,1101.171875,"","","",""
1735,"114","34",1099,222,"Da","Cristina"," condescendență ",201.03125,957.125,225.03125,1101.171875,"","","",""
1797,"114","34",1098,232,"Da","Cristina"," condescendență ",201.03125,957.125,225.03125,1101.171875,"","","",""
1844,"NA",-1,1064,275,"NA","Cristina","","","","","","","","",""
3353,"","","","","","","","","","","","Nu","","",""
