responseTime,sentenceIndex,Index,mousePositionX,mousePositionY,TrueAnswer,userName,Word,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,response,experiment_start_time,experiment_end_time,experiment_duration
4309,"31","14",132,147,"Da","Cristina"," sămânța. ",132.2624969482422,132.66250610351562,157.06249809265137,210.86251068115234,"","","",""
4359,"31","14",132,147,"Da","Cristina"," sămânța. ",132.2624969482422,132.66250610351562,157.06249809265137,210.86251068115234,"","","",""
4406,"31","14",132,147,"Da","Cristina"," sămânța. ",132.2624969482422,132.66250610351562,157.06249809265137,210.86251068115234,"","","",""
4458,"31","14",132,147,"Da","Cristina"," sămânța. ",132.2624969482422,132.66250610351562,157.06249809265137,210.86251068115234,"","","",""
4509,"31","14",132,147,"Da","Cristina"," sămânța. ",132.2624969482422,132.66250610351562,157.06249809265137,210.86251068115234,"","","",""
4559,"31","14",133,151,"Da","Cristina"," sămânța. ",132.2624969482422,132.66250610351562,157.06249809265137,210.86251068115234,"","","",""
4607,"31","14",136,153,"Da","Cristina"," sămânța. ",132.2624969482422,132.66250610351562,157.06249809265137,210.86251068115234,"","","",""
4659,"31","14",137,154,"Da","Cristina"," sămânța. ",132.2624969482422,132.66250610351562,157.06249809265137,210.86251068115234,"","","",""
4708,"31","14",139,154,"Da","Cristina"," sămânța. ",132.2624969482422,132.66250610351562,157.06249809265137,210.86251068115234,"","","",""
4758,"31","14",140,154,"Da","Cristina"," sămânța. ",132.2624969482422,132.66250610351562,157.06249809265137,210.86251068115234,"","","",""
4805,"31","14",148,154,"Da","Cristina"," sămânța. ",132.2624969482422,132.66250610351562,157.06249809265137,210.86251068115234,"","","",""
4855,"31","14",163,154,"Da","Cristina"," sămânța. ",132.2624969482422,132.66250610351562,157.06249809265137,210.86251068115234,"","","",""
4909,"31","14",180,152,"Da","Cristina"," sămânța. ",132.2624969482422,132.66250610351562,157.06249809265137,210.86251068115234,"","","",""
4959,"31","14",184,152,"Da","Cristina"," sămânța. ",132.2624969482422,132.66250610351562,157.06249809265137,210.86251068115234,"","","",""
5009,"31","14",185,152,"Da","Cristina"," sămânța. ",132.2624969482422,132.66250610351562,157.06249809265137,210.86251068115234,"","","",""
5059,"31","14",185,152,"Da","Cristina"," sămânța. ",132.2624969482422,132.66250610351562,157.06249809265137,210.86251068115234,"","","",""
5109,"31","14",185,152,"Da","Cristina"," sămânța. ",132.2624969482422,132.66250610351562,157.06249809265137,210.86251068115234,"","","",""
5159,"31","14",185,152,"Da","Cristina"," sămânța. ",132.2624969482422,132.66250610351562,157.06249809265137,210.86251068115234,"","","",""
5209,"31","14",185,152,"Da","Cristina"," sămânța. ",132.2624969482422,132.66250610351562,157.06249809265137,210.86251068115234,"","","",""
5259,"31","14",185,152,"Da","Cristina"," sămânța. ",132.2624969482422,132.66250610351562,157.06249809265137,210.86251068115234,"","","",""
5309,"31","14",185,152,"Da","Cristina"," sămânța. ",132.2624969482422,132.66250610351562,157.06249809265137,210.86251068115234,"","","",""
5359,"31","14",185,153,"Da","Cristina"," sămânța. ",132.2624969482422,132.66250610351562,157.06249809265137,210.86251068115234,"","","",""
