responseTime,sentenceIndex,Index,mousePositionX,mousePositionY,TrueAnswer,userName,Word,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,response,experiment_start_time,experiment_end_time,experiment_duration
11974,"NA",-1,494,198,"NA","Cristina","","","","","","",1743071749523,1743072017053,267530
12018,"52","14",520,156,"Da","Cristina"," tabloul ",148.5124969482422,496.13751220703125,173.31249809265137,559.7875137329102,"","","",""
12069,"52","4",537,126,"Da","Cristina"," creării ",108.51250457763672,515.6749877929688,133.3125057220459,573.0499877929688,"","","",""
12119,"52","4",564,109,"Da","Cristina"," creării ",108.51250457763672,515.6749877929688,133.3125057220459,573.0499877929688,"","","",""
12168,"NA",-1,596,97,"NA","Cristina","","","","","","","","",""
12218,"NA",-1,630,100,"NA","Cristina","","","","","","","","",""
12268,"52","7",678,116,"Da","Cristina"," fără ",108.51250457763672,670.0499877929688,133.3125057220459,708.1999893188477,"","","",""
12319,"52","8",719,141,"Da","Cristina"," alocare ",108.51250457763672,708.2000122070312,133.3125057220459,774.4875106811523,"","","",""
12369,"NA",-1,728,146,"NA","Cristina","","","","","","","","",""
12419,"52","17",713,148,"Da","Cristina"," sensibile ",148.5124969482422,635.7750244140625,173.31249809265137,714.1375274658203,"","","",""
12469,"52","6",656,141,"Da","Cristina"," tablouri ",108.51250457763672,598.9625244140625,133.3125057220459,670.0500259399414,"","","",""
12517,"52","6",626,142,"Da","Cristina"," tablouri ",108.51250457763672,598.9625244140625,133.3125057220459,670.0500259399414,"","","",""
12568,"NA",-1,628,145,"NA","Cristina","","","","","","","","",""
12619,"52","17",670,153,"Da","Cristina"," sensibile ",148.5124969482422,635.7750244140625,173.31249809265137,714.1375274658203,"","","",""
12668,"52","18",723,152,"Da","Cristina"," înainte ",148.5124969482422,714.1375122070312,173.31249809265137,777.1125144958496,"","","",""
12721,"NA",-1,777,144,"NA","Cristina","","","","","","","","",""
12767,"52","9",798,143,"Da","Cristina"," dinamică, ",108.51250457763672,774.4874877929688,133.3125057220459,861.1499862670898,"","","",""
12818,"52","9",812,142,"Da","Cristina"," dinamică, ",108.51250457763672,774.4874877929688,133.3125057220459,861.1499862670898,"","","",""
12868,"52","20",820,148,"Da","Cristina"," a-l ",148.5124969482422,803.0250244140625,173.31249809265137,828.2500247955322,"","","",""
12918,"52","20",814,180,"Da","Cristina"," a-l ",148.5124969482422,803.0250244140625,173.31249809265137,828.2500247955322,"","","",""
17155,"","","","","","","","","","","","Nu","","",""
414,"NA",-1,858,188,"NA","Cristina","","","","","","","","",""
110211,"NA",-1,792,87,"NA","Cristina","","","","","","","","",""
110567,"101","20",571,176,"Da","Cristina"," rănindu-l ",148.5124969482422,548.4125366210938,173.31249809265137,629.8000411987305,"","","",""
110615,"101","4",559,140,"Da","Cristina"," timpul ",108.51250457763672,510.57501220703125,133.3125057220459,570.0750122070312,"","","",""
110665,"101","4",556,129,"Da","Cristina"," timpul ",108.51250457763672,510.57501220703125,133.3125057220459,570.0750122070312,"","","",""
110712,"101","4",564,137,"Da","Cristina"," timpul ",108.51250457763672,510.57501220703125,133.3125057220459,570.0750122070312,"","","",""
110764,"101","20",585,149,"Da","Cristina"," rănindu-l ",148.5124969482422,548.4125366210938,173.31249809265137,629.8000411987305,"","","",""
110815,"101","20",601,152,"Da","Cristina"," rănindu-l ",148.5124969482422,548.4125366210938,173.31249809265137,629.8000411987305,"","","",""
110864,"101","21",638,152,"Da","Cristina"," grav ",148.5124969482422,629.7999877929688,173.31249809265137,671.8749885559082,"","","",""
110911,"101","7",692,141,"Da","Cristina"," l-a ",108.51250457763672,671.7250366210938,133.3125057220459,696.9500370025635,"","","",""
110965,"101","8",749,131,"Da","Cristina"," înjunghiat ",108.51250457763672,696.9500122070312,133.3125057220459,787.7250137329102,"","","",""
111015,"101","9",803,123,"Da","Cristina"," pe ",108.51250457763672,787.7250366210938,133.3125057220459,813.6375370025635,"","","",""
111063,"101","10",832,118,"Da","Cristina"," Sayyiduna ",108.51250457763672,813.6375122070312,133.3125057220459,904.7250137329102,"","","",""
111115,"101","10",864,116,"Da","Cristina"," Sayyiduna ",108.51250457763672,813.6375122070312,133.3125057220459,904.7250137329102,"","","",""
111165,"101","10",874,118,"Da","Cristina"," Sayyiduna ",108.51250457763672,813.6375122070312,133.3125057220459,904.7250137329102,"","","",""
111214,"101","10",880,135,"Da","Cristina"," Sayyiduna ",108.51250457763672,813.6375122070312,133.3125057220459,904.7250137329102,"","","",""
111264,"NA",-1,899,167,"NA","Cristina","","","","","","","","",""
111311,"NA",-1,908,184,"NA","Cristina","","","","","","","","",""
113748,"","","","","","","","","","","","Da","","",""
217,"117","13",588,157,"Nu","Cristina"," nivel ",148.5124969482422,573.3250122070312,173.31249809265137,617.7250137329102,"","","",""
267,"117","2",569,108,"Nu","Cristina"," trebuie ",108.51250457763672,549.4375,133.3125057220459,614.8375015258789,"","","",""
315,"NA",-1,567,102,"NA","Cristina","","","","","","","","",""
367,"NA",-1,563,106,"NA","Cristina","","","","","","","","",""
417,"117","1",544,132,"Nu","Cristina"," diagrame ",108.51250457763672,463.7124938964844,133.3125057220459,549.4374923706055,"","","",""
466,"117","1",538,135,"Nu","Cristina"," diagrame ",108.51250457763672,463.7124938964844,133.3125057220459,549.4374923706055,"","","",""
513,"117","2",556,127,"Nu","Cristina"," trebuie ",108.51250457763672,549.4375,133.3125057220459,614.8375015258789,"","","",""
567,"117","2",612,120,"Nu","Cristina"," trebuie ",108.51250457763672,549.4375,133.3125057220459,614.8375015258789,"","","",""
617,"117","3",661,120,"Nu","Cristina"," interpretate ",108.51250457763672,614.8375244140625,133.3125057220459,720.9125289916992,"","","",""
669,"117","3",684,123,"Nu","Cristina"," interpretate ",108.51250457763672,614.8375244140625,133.3125057220459,720.9125289916992,"","","",""
717,"117","3",685,123,"Nu","Cristina"," interpretate ",108.51250457763672,614.8375244140625,133.3125057220459,720.9125289916992,"","","",""
764,"NA",-1,663,145,"NA","Cristina","","","","","","","","",""
817,"117","14",652,174,"Nu","Cristina"," constante. ",148.5124969482422,617.7250366210938,173.31249809265137,706.2000350952148,"","","",""
3099,"","","","","","","","","","","","Da","","",""
