responseTime,Index,mousePositionX,mousePositionY,TrueAnswer,userName,sentenceIndex,Word,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,response,experiment_start_time,experiment_end_time,experiment_duration
2184,-1,236,105,"No answer found","Cristina","","","","","","","",1743008842688,1743009017850,175162
2230,-1,244,106,"No answer found","Cristina","","","","","","","","","",""
2292,-1,244,106,"No answer found","Cristina","","","","","","","","","",""
2341,-1,244,106,"No answer found","Cristina","","","","","","","","","",""
2384,-1,244,106,"No answer found","Cristina","","","","","","","","","",""
2431,-1,248,107,"No answer found","Cristina","","","","","","","","","",""
2482,-1,258,108,"No answer found","Cristina","","","","","","","","","",""
2535,-1,265,108,"No answer found","Cristina","","","","","","","","","",""
2584,"0",277,110,"Da","Cristina","12"," Lentilele ",100.8375015258789,275.4624938964844,125.63750267028809,351.5874938964844,"","","",""
2632,"0",280,110,"Da","Cristina","12"," Lentilele ",100.8375015258789,275.4624938964844,125.63750267028809,351.5874938964844,"","","",""
2688,"0",289,110,"Da","Cristina","12"," Lentilele ",100.8375015258789,275.4624938964844,125.63750267028809,351.5874938964844,"","","",""
2744,"0",290,110,"Da","Cristina","12"," Lentilele ",100.8375015258789,275.4624938964844,125.63750267028809,351.5874938964844,"","","",""
2784,"0",299,110,"Da","Cristina","12"," Lentilele ",100.8375015258789,275.4624938964844,125.63750267028809,351.5874938964844,"","","",""
2841,"0",312,112,"Da","Cristina","12"," Lentilele ",100.8375015258789,275.4624938964844,125.63750267028809,351.5874938964844,"","","",""
2888,"0",316,113,"Da","Cristina","12"," Lentilele ",100.8375015258789,275.4624938964844,125.63750267028809,351.5874938964844,"","","",""
2935,"0",332,114,"Da","Cristina","12"," Lentilele ",100.8375015258789,275.4624938964844,125.63750267028809,351.5874938964844,"","","",""
2984,"0",348,116,"Da","Cristina","12"," Lentilele ",100.8375015258789,275.4624938964844,125.63750267028809,351.5874938964844,"","","",""
3031,"1",361,116,"Da","Cristina","12"," cu ",100.8375015258789,351.5874938964844,125.63750267028809,376.0374946594238,"","","",""
3088,"2",376,116,"Da","Cristina","12"," zoom ",100.8375015258789,376.0375061035156,125.63750267028809,427.7875061035156,"","","",""
3143,"2",380,116,"Da","Cristina","12"," zoom ",100.8375015258789,376.0375061035156,125.63750267028809,427.7875061035156,"","","",""
3184,"2",392,118,"Da","Cristina","12"," zoom ",100.8375015258789,376.0375061035156,125.63750267028809,427.7875061035156,"","","",""
3232,"2",417,124,"Da","Cristina","12"," zoom ",100.8375015258789,376.0375061035156,125.63750267028809,427.7875061035156,"","","",""
3285,"2",426,125,"Da","Cristina","12"," zoom ",100.8375015258789,376.0375061035156,125.63750267028809,427.7875061035156,"","","",""
3332,"2",426,125,"Da","Cristina","12"," zoom ",100.8375015258789,376.0375061035156,125.63750267028809,427.7875061035156,"","","",""
3381,"2",426,125,"Da","Cristina","12"," zoom ",100.8375015258789,376.0375061035156,125.63750267028809,427.7875061035156,"","","",""
3438,"3",428,125,"Da","Cristina","12"," motorizate, ",100.8375015258789,427.7875061035156,125.63750267028809,529.6875076293945,"","","",""
3485,"3",455,130,"Da","Cristina","12"," motorizate, ",100.8375015258789,427.7875061035156,125.63750267028809,529.6875076293945,"","","",""
3533,"3",481,133,"Da","Cristina","12"," motorizate, ",100.8375015258789,427.7875061035156,125.63750267028809,529.6875076293945,"","","",""
3581,-1,518,136,"No answer found","Cristina","","","","","","","","","",""
3632,"4",563,134,"Da","Cristina","12"," controlate ",100.8375015258789,529.6875,125.63750267028809,620.8875045776367,"","","",""
3688,"4",569,134,"Da","Cristina","12"," controlate ",100.8375015258789,529.6875,125.63750267028809,620.8875045776367,"","","",""
3736,"4",570,134,"Da","Cristina","12"," controlate ",100.8375015258789,529.6875,125.63750267028809,620.8875045776367,"","","",""
3783,"4",570,132,"Da","Cristina","12"," controlate ",100.8375015258789,529.6875,125.63750267028809,620.8875045776367,"","","",""
3831,"4",572,128,"Da","Cristina","12"," controlate ",100.8375015258789,529.6875,125.63750267028809,620.8875045776367,"","","",""
3886,"4",572,126,"Da","Cristina","12"," controlate ",100.8375015258789,529.6875,125.63750267028809,620.8875045776367,"","","",""
3933,"4",572,125,"Da","Cristina","12"," controlate ",100.8375015258789,529.6875,125.63750267028809,620.8875045776367,"","","",""
3982,"4",576,124,"Da","Cristina","12"," controlate ",100.8375015258789,529.6875,125.63750267028809,620.8875045776367,"","","",""
4032,"4",596,120,"Da","Cristina","12"," controlate ",100.8375015258789,529.6875,125.63750267028809,620.8875045776367,"","","",""
4088,"4",615,116,"Da","Cristina","12"," controlate ",100.8375015258789,529.6875,125.63750267028809,620.8875045776367,"","","",""
4136,"5",623,116,"Da","Cristina","12"," electronic, ",100.8375015258789,620.8875122070312,125.63750267028809,712.8500137329102,"","","",""
4189,"5",624,116,"Da","Cristina","12"," electronic, ",100.8375015258789,620.8875122070312,125.63750267028809,712.8500137329102,"","","",""
4232,"5",630,116,"Da","Cristina","12"," electronic, ",100.8375015258789,620.8875122070312,125.63750267028809,712.8500137329102,"","","",""
4281,"5",654,116,"Da","Cristina","12"," electronic, ",100.8375015258789,620.8875122070312,125.63750267028809,712.8500137329102,"","","",""
4333,"5",671,116,"Da","Cristina","12"," electronic, ",100.8375015258789,620.8875122070312,125.63750267028809,712.8500137329102,"","","",""
4381,"5",684,116,"Da","Cristina","12"," electronic, ",100.8375015258789,620.8875122070312,125.63750267028809,712.8500137329102,"","","",""
4432,"5",708,116,"Da","Cristina","12"," electronic, ",100.8375015258789,620.8875122070312,125.63750267028809,712.8500137329102,"","","",""
4485,"6",722,116,"Da","Cristina","12"," sunt ",100.8375015258789,712.8500366210938,125.63750267028809,754.9000358581543,"","","",""
4532,"6",748,120,"Da","Cristina","12"," sunt ",100.8375015258789,712.8500366210938,125.63750267028809,754.9000358581543,"","","",""
4584,"7",776,122,"Da","Cristina","12"," amplasate ",100.8375015258789,754.9000244140625,125.63750267028809,847.7000274658203,"","","",""
