sentenceIndex,totalReadingTime,Index,Word
-2.0,0,6.0, s-a 
-2.0,0,6.0, s-a 
-2.0,0,6.0, s-a 
-2.0,0,6.0, s-a 
-2.0,0,6.0, s-a 
-2.0,0,6.0, s-a 
-2.0,394,6.0, s-a 
-2.0,0,7.0, simțit 
-2.0,0,7.0, simțit 
-2.0,0,7.0, simțit 
-2.0,0,7.0, simțit 
-2.0,0,7.0, simțit 
-2.0,0,7.0, simțit 
-2.0,0,7.0, simțit 
-2.0,0,7.0, simțit 
-2.0,452,7.0, simțit 
-2.0,48,8.0, mai 
-2.0,55,9.0, bine 
-2.0,0,10.0, după 
-2.0,101,10.0, după 
-2.0,0,11.0, doar 
-2.0,0,11.0, doar 
-2.0,0,11.0, doar 
-2.0,0,11.0, doar 
-2.0,0,11.0, doar 
-2.0,0,11.0, doar 
-2.0,0,11.0, doar 
-2.0,0,11.0, doar 
-2.0,0,11.0, doar 
-2.0,0,11.0, doar 
-2.0,0,11.0, doar 
-2.0,0,11.0, doar 
-2.0,0,11.0, doar 
-2.0,700,11.0, doar 
-2.0,0,12.0, câteva 
-2.0,0,12.0, câteva 
-2.0,0,12.0, câteva 
-2.0,0,12.0, câteva 
-2.0,0,12.0, câteva 
-2.0,0,12.0, câteva 
-2.0,0,12.0, câteva 
-2.0,400,12.0, câteva 
-2.0,0,13.0, tratamente. 
-2.0,0,13.0, tratamente. 
-2.0,0,13.0, tratamente. 
-2.0,0,13.0, tratamente. 
-2.0,0,13.0, tratamente. 
-2.0,0,13.0, tratamente. 
-2.0,0,13.0, tratamente. 
-2.0,0,13.0, tratamente. 
-2.0,0,13.0, tratamente. 
-2.0,0,13.0, tratamente. 
-2.0,0,13.0, tratamente. 
-2.0,0,13.0, tratamente. 
-2.0,0,13.0, tratamente. 
-2.0,0,13.0, tratamente. 
-2.0,648,13.0, tratamente. 
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,-4599,,
-3.0,0,0.0, Soțul 
-3.0,0,0.0, Soțul 
-3.0,0,0.0, Soțul 
-3.0,0,0.0, Soțul 
-3.0,0,0.0, Soțul 
-3.0,304,0.0, Soțul 
-3.0,0,1.0, femeii 
-3.0,0,1.0, femeii 
-3.0,0,1.0, femeii 
-3.0,0,1.0, femeii 
-3.0,0,1.0, femeii 
-3.0,0,1.0, femeii 
-3.0,0,1.0, femeii 
-3.0,0,1.0, femeii 
-3.0,0,1.0, femeii 
-3.0,0,1.0, femeii 
-3.0,0,1.0, femeii 
-3.0,0,1.0, femeii 
-3.0,0,1.0, femeii 
-3.0,0,1.0, femeii 
-3.0,0,1.0, femeii 
-3.0,0,1.0, femeii 
-3.0,849,1.0, femeii 
-3.0,0,2.0, frumoase 
-3.0,0,2.0, frumoase 
-3.0,0,2.0, frumoase 
-3.0,0,2.0, frumoase 
-3.0,0,2.0, frumoase 
-3.0,0,2.0, frumoase 
-3.0,0,2.0, frumoase 
-3.0,0,2.0, frumoase 
-3.0,0,2.0, frumoase 
-3.0,0,2.0, frumoase 
-3.0,0,2.0, frumoase 
-3.0,0,2.0, frumoase 
-3.0,0,2.0, frumoase 
-3.0,696,2.0, frumoase 
-3.0,0,1.0, femeii 
-3.0,0,1.0, femeii 
-3.0,0,1.0, femeii 
-3.0,202,1.0, femeii 
-3.0,0,2.0, frumoase 
-3.0,0,2.0, frumoase 
-3.0,0,2.0, frumoase 
-3.0,0,2.0, frumoase 
-3.0,0,2.0, frumoase 
-3.0,0,2.0, frumoase 
-3.0,0,2.0, frumoase 
-3.0,0,2.0, frumoase 
-3.0,453,2.0, frumoase 
-3.0,0,3.0, i-a 
-3.0,0,3.0, i-a 
-3.0,0,3.0, i-a 
-3.0,0,3.0, i-a 
-3.0,0,3.0, i-a 
-3.0,0,3.0, i-a 
-3.0,352,3.0, i-a 
-3.0,0,4.0, cumpărat 
-3.0,0,4.0, cumpărat 
-3.0,0,4.0, cumpărat 
-3.0,0,4.0, cumpărat 
-3.0,0,4.0, cumpărat 
-3.0,0,4.0, cumpărat 
-3.0,0,4.0, cumpărat 
-3.0,0,4.0, cumpărat 
-3.0,0,4.0, cumpărat 
-3.0,0,4.0, cumpărat 
-3.0,549,4.0, cumpărat 
-3.0,0,5.0, flori 
-3.0,0,5.0, flori 
-3.0,151,5.0, flori 
-3.0,0,6.0, și 
-3.0,0,6.0, și 
-3.0,0,6.0, și 
-3.0,0,6.0, și 
-3.0,248,6.0, și 
-3.0,0,7.0, bomboane 
-3.0,0,7.0, bomboane 
-3.0,0,7.0, bomboane 
-3.0,0,7.0, bomboane 
-3.0,0,7.0, bomboane 
-3.0,0,7.0, bomboane 
-3.0,0,7.0, bomboane 
-3.0,0,7.0, bomboane 
-3.0,0,7.0, bomboane 
-3.0,0,7.0, bomboane 
-3.0,0,7.0, bomboane 
-3.0,0,7.0, bomboane 
-3.0,650,7.0, bomboane 
-3.0,0,8.0, de 
-3.0,0,8.0, de 
-3.0,0,8.0, de 
-3.0,201,8.0, de 
-3.0,0,9.0, ziua 
-3.0,0,9.0, ziua 
-3.0,0,9.0, ziua 
-3.0,-5898,9.0, ziua 
136.0,0,15.0, (dacă 
136.0,0,15.0, (dacă 
136.0,0,15.0, (dacă 
136.0,0,15.0, (dacă 
136.0,344,15.0, (dacă 
136.0,0,0.0, Urmăriți 
136.0,0,0.0, Urmăriți 
136.0,0,0.0, Urmăriți 
136.0,0,0.0, Urmăriți 
136.0,0,0.0, Urmăriți 
136.0,0,0.0, Urmăriți 
136.0,0,0.0, Urmăriți 
136.0,0,0.0, Urmăriți 
136.0,0,0.0, Urmăriți 
136.0,0,0.0, Urmăriți 
136.0,0,0.0, Urmăriți 
136.0,0,0.0, Urmăriți 
136.0,0,0.0, Urmăriți 
136.0,0,0.0, Urmăriți 
136.0,0,0.0, Urmăriți 
136.0,0,0.0, Urmăriți 
136.0,0,0.0, Urmăriți 
136.0,0,0.0, Urmăriți 
136.0,0,0.0, Urmăriți 
136.0,0,0.0, Urmăriți 
136.0,0,0.0, Urmăriți 
136.0,0,0.0, Urmăriți 
136.0,0,0.0, Urmăriți 
136.0,0,0.0, Urmăriți 
136.0,0,0.0, Urmăriți 
136.0,0,0.0, Urmăriți 
136.0,0,0.0, Urmăriți 
136.0,0,0.0, Urmăriți 
136.0,0,0.0, Urmăriți 
136.0,0,0.0, Urmăriți 
136.0,0,0.0, Urmăriți 
136.0,0,0.0, Urmăriți 
136.0,1650,0.0, Urmăriți 
136.0,54,1.0, câinele 
136.0,0,2.0, pentru 
136.0,0,2.0, pentru 
136.0,0,2.0, pentru 
136.0,0,2.0, pentru 
136.0,0,2.0, pentru 
136.0,301,2.0, pentru 
136.0,0,1.0, câinele 
136.0,0,1.0, câinele 
136.0,0,1.0, câinele 
136.0,0,1.0, câinele 
136.0,0,1.0, câinele 
136.0,0,1.0, câinele 
136.0,0,1.0, câinele 
136.0,0,1.0, câinele 
136.0,449,1.0, câinele 
136.0,0,0.0, Urmăriți 
136.0,0,0.0, Urmăriți 
136.0,0,0.0, Urmăriți 
136.0,0,0.0, Urmăriți 
136.0,0,0.0, Urmăriți 
136.0,0,0.0, Urmăriți 
136.0,0,0.0, Urmăriți 
136.0,0,0.0, Urmăriți 
136.0,0,0.0, Urmăriți 
136.0,0,0.0, Urmăriți 
136.0,0,0.0, Urmăriți 
136.0,0,0.0, Urmăriți 
136.0,0,0.0, Urmăriți 
136.0,701,0.0, Urmăriți 
136.0,0,1.0, câinele 
136.0,0,1.0, câinele 
136.0,0,1.0, câinele 
136.0,0,1.0, câinele 
136.0,0,1.0, câinele 
136.0,0,1.0, câinele 
136.0,344,1.0, câinele 
136.0,0,2.0, pentru 
136.0,0,2.0, pentru 
136.0,0,2.0, pentru 
136.0,0,2.0, pentru 
136.0,0,2.0, pentru 
136.0,0,2.0, pentru 
136.0,356,2.0, pentru 
136.0,0,3.0, a 
136.0,0,3.0, a 
136.0,0,3.0, a 
136.0,199,3.0, a 
136.0,0,4.0, vă 
136.0,0,4.0, vă 
136.0,0,4.0, vă 
136.0,195,4.0, vă 
136.0,0,5.0, asigura 
136.0,106,5.0, asigura 
136.0,0,6.0, că 
136.0,0,6.0, că 
136.0,0,6.0, că 
136.0,0,6.0, că 
136.0,0,6.0, că 
136.0,299,6.0, că 
136.0,0,7.0, nu 
136.0,0,7.0, nu 
136.0,0,7.0, nu 
136.0,0,7.0, nu 
136.0,0,7.0, nu 
136.0,300,7.0, nu 
136.0,0,8.0, scuipă 
136.0,0,8.0, scuipă 
136.0,0,8.0, scuipă 
136.0,0,8.0, scuipă 
136.0,0,8.0, scuipă 
136.0,301,8.0, scuipă 
136.0,0,9.0, pastila 
136.0,0,9.0, pastila 
136.0,0,9.0, pastila 
136.0,0,9.0, pastila 
136.0,0,9.0, pastila 
136.0,0,9.0, pastila 
136.0,0,9.0, pastila 
136.0,0,9.0, pastila 
136.0,0,9.0, pastila 
136.0,0,9.0, pastila 
136.0,0,9.0, pastila 
136.0,0,9.0, pastila 
136.0,0,9.0, pastila 
136.0,700,9.0, pastila 
136.0,0,10.0, după 
136.0,0,10.0, după 
136.0,0,10.0, după 
136.0,0,10.0, după 
136.0,0,10.0, după 
136.0,0,10.0, după 
136.0,0,10.0, după 
136.0,0,10.0, după 
136.0,0,10.0, după 
136.0,0,10.0, după 
136.0,0,10.0, după 
136.0,0,10.0, după 
136.0,0,10.0, după 
136.0,0,10.0, după 
136.0,0,10.0, după 
136.0,0,10.0, după 
136.0,0,10.0, după 
136.0,0,10.0, după 
136.0,0,10.0, după 
136.0,0,10.0, după 
136.0,0,10.0, după 
136.0,0,10.0, după 
136.0,0,10.0, după 
136.0,0,10.0, după 
136.0,0,10.0, după 
136.0,1295,10.0, după 
136.0,0,11.0, ce 
136.0,0,11.0, ce 
136.0,0,11.0, ce 
