sentenceIndex,totalReadingTime,Index,Word
-2.0,0,13.0, tratamente. 
-2.0,0,13.0, tratamente. 
-2.0,0,13.0, tratamente. 
-2.0,0,13.0, tratamente. 
-2.0,0,13.0, tratamente. 
-2.0,696,13.0, tratamente. 
,0,,
,0,,
,0,,
,0,,
,0,,
,-5258,,
-3.0,0,0.0, Soțul 
-3.0,0,0.0, Soțul 
-3.0,0,0.0, Soțul 
-3.0,0,0.0, Soțul 
-3.0,0,0.0, Soțul 
-3.0,0,0.0, Soțul 
-3.0,0,0.0, Soțul 
-3.0,0,0.0, Soțul 
-3.0,0,0.0, Soțul 
-3.0,0,0.0, Soțul 
-3.0,0,0.0, Soțul 
-3.0,0,0.0, Soțul 
-3.0,0,0.0, Soțul 
-3.0,0,0.0, Soțul 
-3.0,0,0.0, Soțul 
-3.0,0,0.0, Soțul 
-3.0,0,0.0, Soțul 
-3.0,0,0.0, Soțul 
-3.0,0,0.0, Soțul 
-3.0,0,0.0, Soțul 
-3.0,1052,0.0, Soțul 
-3.0,0,1.0, femeii 
-3.0,0,1.0, femeii 
-3.0,0,1.0, femeii 
-3.0,0,1.0, femeii 
-3.0,0,1.0, femeii 
-3.0,298,1.0, femeii 
-3.0,0,2.0, frumoase 
-3.0,0,2.0, frumoase 
-3.0,0,2.0, frumoase 
-3.0,0,2.0, frumoase 
-3.0,0,2.0, frumoase 
-3.0,0,2.0, frumoase 
-3.0,0,2.0, frumoase 
-3.0,0,2.0, frumoase 
-3.0,0,2.0, frumoase 
-3.0,0,2.0, frumoase 
-3.0,0,2.0, frumoase 
-3.0,0,2.0, frumoase 
-3.0,651,2.0, frumoase 
-3.0,0,3.0, i-a 
-3.0,0,3.0, i-a 
-3.0,0,3.0, i-a 
-3.0,201,3.0, i-a 
-3.0,0,4.0, cumpărat 
-3.0,0,4.0, cumpărat 
-3.0,0,4.0, cumpărat 
-3.0,0,4.0, cumpărat 
-3.0,0,4.0, cumpărat 
-3.0,0,4.0, cumpărat 
-3.0,0,4.0, cumpărat 
-3.0,0,4.0, cumpărat 
-3.0,0,4.0, cumpărat 
-3.0,0,4.0, cumpărat 
-3.0,0,4.0, cumpărat 
-3.0,601,4.0, cumpărat 
-3.0,0,5.0, flori 
-3.0,0,5.0, flori 
-3.0,145,5.0, flori 
-3.0,46,6.0, și 
-3.0,0,7.0, bomboane 
-3.0,0,7.0, bomboane 
-3.0,0,7.0, bomboane 
-3.0,0,7.0, bomboane 
-3.0,0,7.0, bomboane 
-3.0,0,7.0, bomboane 
-3.0,0,7.0, bomboane 
-3.0,0,7.0, bomboane 
-3.0,0,7.0, bomboane 
-3.0,0,7.0, bomboane 
-3.0,0,7.0, bomboane 
-3.0,608,7.0, bomboane 
-3.0,0,8.0, de 
-3.0,0,8.0, de 
-3.0,150,8.0, de 
-3.0,0,9.0, ziua 
-3.0,0,9.0, ziua 
-3.0,0,9.0, ziua 
-3.0,98,9.0, ziua 
,0,,
,0,,
,0,,
,0,,
,-3623,,
120.0,0,1.0, au 
120.0,0,1.0, au 
120.0,0,1.0, au 
120.0,202,1.0, au 
120.0,0,0.0, Ei 
120.0,0,0.0, Ei 
120.0,0,0.0, Ei 
120.0,0,0.0, Ei 
120.0,0,0.0, Ei 
120.0,0,0.0, Ei 
120.0,0,0.0, Ei 
120.0,0,0.0, Ei 
120.0,0,0.0, Ei 
120.0,0,0.0, Ei 
120.0,0,0.0, Ei 
120.0,603,0.0, Ei 
120.0,0,1.0, au 
120.0,0,1.0, au 
120.0,0,1.0, au 
120.0,0,1.0, au 
120.0,0,1.0, au 
120.0,291,1.0, au 
120.0,0,2.0, lăsat 
120.0,0,2.0, lăsat 
120.0,0,2.0, lăsat 
120.0,0,2.0, lăsat 
120.0,0,2.0, lăsat 
120.0,0,2.0, lăsat 
120.0,0,2.0, lăsat 
120.0,0,2.0, lăsat 
120.0,451,2.0, lăsat 
120.0,0,3.0, în 
120.0,0,3.0, în 
120.0,157,3.0, în 
120.0,0,4.0, urmă 
120.0,0,4.0, urmă 
120.0,0,4.0, urmă 
120.0,0,4.0, urmă 
120.0,0,4.0, urmă 
120.0,0,4.0, urmă 
120.0,0,4.0, urmă 
120.0,0,4.0, urmă 
120.0,0,4.0, urmă 
120.0,0,4.0, urmă 
120.0,0,4.0, urmă 
120.0,0,4.0, urmă 
120.0,0,4.0, urmă 
120.0,0,4.0, urmă 
120.0,0,4.0, urmă 
120.0,792,4.0, urmă 
120.0,50,5.0, o 
120.0,0,6.0, profeție 
120.0,0,6.0, profeție 
120.0,0,6.0, profeție 
120.0,0,6.0, profeție 
120.0,0,6.0, profeție 
120.0,0,6.0, profeție 
120.0,0,6.0, profeție 
120.0,0,6.0, profeție 
120.0,0,6.0, profeție 
120.0,509,6.0, profeție 
120.0,41,7.0, conform 
120.0,0,6.0, profeție 
120.0,103,6.0, profeție 
120.0,56,4.0, urmă 
120.0,49,2.0, lăsat 
120.0,0,0.0, Ei 
120.0,0,0.0, Ei 
120.0,0,0.0, Ei 
120.0,0,0.0, Ei 
120.0,0,0.0, Ei 
120.0,0,0.0, Ei 
120.0,0,0.0, Ei 
120.0,0,0.0, Ei 
120.0,0,0.0, Ei 
120.0,0,0.0, Ei 
120.0,0,0.0, Ei 
120.0,0,0.0, Ei 
120.0,0,0.0, Ei 
120.0,0,0.0, Ei 
120.0,0,0.0, Ei 
120.0,0,0.0, Ei 
120.0,0,0.0, Ei 
120.0,0,0.0, Ei 
120.0,0,0.0, Ei 
120.0,0,0.0, Ei 
120.0,0,0.0, Ei 
120.0,0,0.0, Ei 
120.0,1144,0.0, Ei 
120.0,0,1.0, au 
120.0,0,1.0, au 
120.0,152,1.0, au 
120.0,0,2.0, lăsat 
120.0,0,2.0, lăsat 
120.0,0,2.0, lăsat 
120.0,0,2.0, lăsat 
120.0,246,2.0, lăsat 
120.0,0,3.0, în 
120.0,0,3.0, în 
120.0,0,3.0, în 
120.0,206,3.0, în 
120.0,0,4.0, urmă 
120.0,0,4.0, urmă 
120.0,0,4.0, urmă 
120.0,0,4.0, urmă 
120.0,0,4.0, urmă 
120.0,0,4.0, urmă 
120.0,344,4.0, urmă 
120.0,0,5.0, o 
120.0,0,5.0, o 
120.0,154,5.0, o 
120.0,0,6.0, profeție 
120.0,0,6.0, profeție 
120.0,0,6.0, profeție 
120.0,0,6.0, profeție 
120.0,0,6.0, profeție 
120.0,0,6.0, profeție 
120.0,0,6.0, profeție 
120.0,0,6.0, profeție 
120.0,451,6.0, profeție 
120.0,0,7.0, conform 
120.0,0,7.0, conform 
120.0,0,7.0, conform 
120.0,0,7.0, conform 
120.0,0,7.0, conform 
120.0,0,7.0, conform 
120.0,0,7.0, conform 
120.0,403,7.0, conform 
120.0,0,8.0, căreia 
120.0,0,8.0, căreia 
120.0,0,8.0, căreia 
120.0,0,8.0, căreia 
120.0,0,8.0, căreia 
120.0,0,8.0, căreia 
120.0,342,8.0, căreia 
120.0,0,9.0, lumea 
120.0,0,9.0, lumea 
120.0,0,9.0, lumea 
120.0,0,9.0, lumea 
120.0,0,9.0, lumea 
120.0,0,9.0, lumea 
120.0,356,9.0, lumea 
120.0,0,10.0, se 
120.0,0,10.0, se 
120.0,0,10.0, se 
120.0,0,10.0, se 
120.0,248,10.0, se 
120.0,0,11.0, va 
120.0,0,11.0, va 
120.0,0,11.0, va 
120.0,0,11.0, va 
120.0,0,11.0, va 
120.0,296,11.0, va 
120.0,0,12.0, sfârși 
120.0,0,12.0, sfârși 
120.0,0,12.0, sfârși 
120.0,0,12.0, sfârși 
120.0,260,12.0, sfârși 
120.0,0,13.0, la 
120.0,0,13.0, la 
120.0,144,13.0, la 
120.0,0,12.0, sfârși 
120.0,0,12.0, sfârși 
120.0,0,12.0, sfârși 
120.0,0,12.0, sfârși 
120.0,0,12.0, sfârși 
120.0,0,12.0, sfârși 
120.0,0,12.0, sfârși 
120.0,0,12.0, sfârși 
120.0,0,12.0, sfârși 
120.0,0,12.0, sfârși 
120.0,554,12.0, sfârși 
120.0,0,11.0, va 
120.0,0,11.0, va 
120.0,0,11.0, va 
120.0,194,11.0, va 
120.0,0,12.0, sfârși 
120.0,106,12.0, sfârși 
120.0,0,13.0, la 
120.0,0,13.0, la 
120.0,144,13.0, la 
120.0,0,14.0, 21 
120.0,0,14.0, 21 
120.0,150,14.0, 21 
120.0,0,15.0, decembrie 
120.0,0,15.0, decembrie 
120.0,0,15.0, decembrie 
120.0,0,15.0, decembrie 
120.0,0,15.0, decembrie 
120.0,0,15.0, decembrie 
120.0,0,15.0, decembrie 
120.0,0,15.0, decembrie 
120.0,0,15.0, decembrie 
120.0,498,15.0, decembrie 
120.0,0,16.0, 2012 
120.0,0,16.0, 2012 
120.0,0,16.0, 2012 
120.0,0,16.0, 2012 
120.0,0,16.0, 2012 
120.0,0,16.0, 2012 
120.0,0,16.0, 2012 
120.0,403,16.0, 2012 
120.0,0,15.0, decembrie 
120.0,105,15.0, decembrie 
120.0,0,16.0, 2012 
120.0,0,16.0, 2012 
120.0,0,16.0, 2012 
120.0,192,16.0, 2012 
120.0,59,12.0, sfârși 
120.0,49,8.0, căreia 
120.0,46,6.0, profeție 
120.0,47,2.0, lăsat 
120.0,57,1.0, au 
120.0,0,0.0, Ei 
120.0,0,0.0, Ei 
120.0,0,0.0, Ei 
120.0,194,0.0, Ei 
120.0,0,17.0, și 
120.0,0,17.0, și 
120.0,0,17.0, și 
120.0,0,17.0, și 
120.0,0,17.0, și 
120.0,0,17.0, și 
120.0,355,17.0, și 
120.0,0,18.0, va 
120.0,0,18.0, va 
120.0,152,18.0, va 
120.0,0,17.0, și 
120.0,0,17.0, și 
120.0,0,17.0, și 
120.0,0,17.0, și 
120.0,249,17.0, și 
120.0,0,18.0, va 
120.0,92,18.0, va 
120.0,0,19.0, avea 
120.0,0,19.0, avea 
120.0,0,19.0, avea 
120.0,0,19.0, avea 
120.0,0,19.0, avea 
120.0,0,19.0, avea 
120.0,359,19.0, avea 
120.0,0,20.0, loc 
120.0,92,20.0, loc 
120.0,0,21.0, cel 
120.0,0,21.0, cel 
120.0,157,21.0, cel 
120.0,0,22.0, de-al 
120.0,0,22.0, de-al 
120.0,0,22.0, de-al 
