sentenceIndex,totalReadingTime,Index,Word
-2.0,0,13.0, tratamente. 
-2.0,547,13.0, tratamente. 
,0,,
,0,,
,0,,
,-4622,,
-3.0,0,0.0, Soțul 
-3.0,0,0.0, Soțul 
-3.0,0,0.0, Soțul 
-3.0,0,0.0, Soțul 
-3.0,0,0.0, Soțul 
-3.0,0,0.0, Soțul 
-3.0,0,0.0, Soțul 
-3.0,0,0.0, Soțul 
-3.0,0,0.0, Soțul 
-3.0,0,0.0, Soțul 
-3.0,0,0.0, Soțul 
-3.0,0,0.0, Soțul 
-3.0,0,0.0, Soțul 
-3.0,0,0.0, Soțul 
-3.0,0,0.0, Soțul 
-3.0,0,0.0, Soțul 
-3.0,0,0.0, Soțul 
-3.0,0,0.0, Soțul 
-3.0,0,0.0, Soțul 
-3.0,0,0.0, Soțul 
-3.0,0,0.0, Soțul 
-3.0,0,0.0, Soțul 
-3.0,0,0.0, Soțul 
-3.0,1195,0.0, Soțul 
-3.0,0,1.0, femeii 
-3.0,0,1.0, femeii 
-3.0,0,1.0, femeii 
-3.0,0,1.0, femeii 
-3.0,255,1.0, femeii 
-3.0,0,2.0, frumoase 
-3.0,0,2.0, frumoase 
-3.0,0,2.0, frumoase 
-3.0,0,2.0, frumoase 
-3.0,0,2.0, frumoase 
-3.0,0,2.0, frumoase 
-3.0,0,2.0, frumoase 
-3.0,0,2.0, frumoase 
-3.0,0,2.0, frumoase 
-3.0,497,2.0, frumoase 
-3.0,0,3.0, i-a 
-3.0,0,3.0, i-a 
-3.0,152,3.0, i-a 
-3.0,0,4.0, cumpărat 
-3.0,0,4.0, cumpărat 
-3.0,0,4.0, cumpărat 
-3.0,0,4.0, cumpărat 
-3.0,0,4.0, cumpărat 
-3.0,0,4.0, cumpărat 
-3.0,0,4.0, cumpărat 
-3.0,401,4.0, cumpărat 
-3.0,0,5.0, flori 
-3.0,99,5.0, flori 
-3.0,0,6.0, și 
-3.0,0,6.0, și 
-3.0,149,6.0, și 
-3.0,0,7.0, bomboane 
-3.0,0,7.0, bomboane 
-3.0,0,7.0, bomboane 
-3.0,0,7.0, bomboane 
-3.0,0,7.0, bomboane 
-3.0,0,7.0, bomboane 
-3.0,0,7.0, bomboane 
-3.0,0,7.0, bomboane 
-3.0,450,7.0, bomboane 
-3.0,51,8.0, de 
-3.0,0,9.0, ziua 
-3.0,0,9.0, ziua 
-3.0,0,9.0, ziua 
-3.0,0,9.0, ziua 
-3.0,0,9.0, ziua 
-3.0,0,9.0, ziua 
-3.0,301,9.0, ziua 
,0,,
,0,,
,0,,
,0,,
,0,,
,0,,
,-3700,,
158.0,0,0.0, Calcularea 
158.0,0,0.0, Calcularea 
158.0,0,0.0, Calcularea 
158.0,0,0.0, Calcularea 
158.0,0,0.0, Calcularea 
158.0,0,0.0, Calcularea 
158.0,0,0.0, Calcularea 
158.0,0,0.0, Calcularea 
158.0,0,0.0, Calcularea 
158.0,0,0.0, Calcularea 
158.0,0,0.0, Calcularea 
158.0,0,0.0, Calcularea 
158.0,0,0.0, Calcularea 
158.0,0,0.0, Calcularea 
158.0,0,0.0, Calcularea 
158.0,0,0.0, Calcularea 
158.0,0,0.0, Calcularea 
158.0,0,0.0, Calcularea 
158.0,0,0.0, Calcularea 
158.0,0,0.0, Calcularea 
158.0,0,0.0, Calcularea 
158.0,0,0.0, Calcularea 
158.0,0,0.0, Calcularea 
158.0,0,0.0, Calcularea 
158.0,1249,0.0, Calcularea 
158.0,0,1.0, unor 
158.0,0,1.0, unor 
158.0,0,1.0, unor 
158.0,0,1.0, unor 
158.0,251,1.0, unor 
158.0,0,2.0, astfel 
158.0,0,2.0, astfel 
158.0,0,2.0, astfel 
158.0,0,2.0, astfel 
158.0,246,2.0, astfel 
158.0,0,3.0, de 
158.0,0,3.0, de 
158.0,152,3.0, de 
158.0,0,4.0, capacități 
158.0,0,4.0, capacități 
158.0,0,4.0, capacități 
158.0,0,4.0, capacități 
158.0,0,4.0, capacități 
158.0,0,4.0, capacități 
158.0,0,4.0, capacități 
158.0,0,4.0, capacități 
158.0,0,4.0, capacități 
158.0,0,4.0, capacități 
158.0,551,4.0, capacități 
158.0,0,5.0, și 
158.0,0,5.0, și 
158.0,0,5.0, și 
158.0,196,5.0, și 
158.0,0,6.0, fie 
158.0,102,6.0, fie 
158.0,0,7.0, exploatarea 
158.0,0,7.0, exploatarea 
158.0,0,7.0, exploatarea 
158.0,0,7.0, exploatarea 
158.0,0,7.0, exploatarea 
158.0,0,7.0, exploatarea 
158.0,0,7.0, exploatarea 
158.0,0,7.0, exploatarea 
158.0,0,7.0, exploatarea 
158.0,0,7.0, exploatarea 
158.0,0,7.0, exploatarea 
158.0,0,7.0, exploatarea 
158.0,0,7.0, exploatarea 
158.0,0,7.0, exploatarea 
158.0,0,7.0, exploatarea 
158.0,0,7.0, exploatarea 
158.0,0,7.0, exploatarea 
158.0,0,7.0, exploatarea 
158.0,0,7.0, exploatarea 
158.0,0,7.0, exploatarea 
158.0,0,7.0, exploatarea 
158.0,0,7.0, exploatarea 
158.0,0,7.0, exploatarea 
158.0,0,7.0, exploatarea 
158.0,0,7.0, exploatarea 
158.0,0,7.0, exploatarea 
158.0,0,7.0, exploatarea 
158.0,0,7.0, exploatarea 
158.0,0,7.0, exploatarea 
158.0,0,7.0, exploatarea 
158.0,0,7.0, exploatarea 
158.0,0,7.0, exploatarea 
158.0,0,7.0, exploatarea 
158.0,0,7.0, exploatarea 
158.0,0,7.0, exploatarea 
158.0,0,7.0, exploatarea 
158.0,0,7.0, exploatarea 
158.0,0,7.0, exploatarea 
158.0,1945,7.0, exploatarea 
158.0,0,8.0," lor, "
158.0,0,8.0," lor, "
158.0,0,8.0," lor, "
158.0,0,8.0," lor, "
158.0,0,8.0," lor, "
158.0,0,8.0," lor, "
158.0,0,8.0," lor, "
158.0,0,8.0," lor, "
158.0,0,8.0," lor, "
158.0,0,8.0," lor, "
158.0,0,8.0," lor, "
158.0,605,8.0," lor, "
158.0,0,9.0, fie 
158.0,0,9.0, fie 
158.0,0,9.0, fie 
158.0,0,9.0, fie 
158.0,250,9.0, fie 
158.0,0,10.0, luarea 
158.0,0,10.0, luarea 
158.0,0,10.0, luarea 
158.0,0,10.0, luarea 
158.0,0,10.0, luarea 
158.0,0,10.0, luarea 
158.0,0,10.0, luarea 
158.0,0,10.0, luarea 
158.0,0,10.0, luarea 
158.0,0,10.0, luarea 
158.0,0,10.0, luarea 
158.0,0,10.0, luarea 
158.0,0,10.0, luarea 
158.0,0,10.0, luarea 
158.0,0,10.0, luarea 
158.0,0,10.0, luarea 
158.0,852,10.0, luarea 
158.0,50,9.0, fie 
158.0,50,8.0," lor, "
158.0,0,7.0, exploatarea 
158.0,0,7.0, exploatarea 
158.0,151,7.0, exploatarea 
158.0,0,8.0," lor, "
158.0,98,8.0," lor, "
158.0,0,9.0, fie 
158.0,101,9.0, fie 
158.0,0,10.0, luarea 
158.0,0,10.0, luarea 
158.0,0,10.0, luarea 
158.0,0,10.0, luarea 
158.0,0,10.0, luarea 
158.0,300,10.0, luarea 
158.0,0,11.0, măsurilor 
158.0,0,11.0, măsurilor 
158.0,0,11.0, măsurilor 
158.0,0,11.0, măsurilor 
158.0,0,11.0, măsurilor 
158.0,0,11.0, măsurilor 
158.0,0,11.0, măsurilor 
158.0,0,11.0, măsurilor 
158.0,0,11.0, măsurilor 
158.0,0,11.0, măsurilor 
158.0,0,11.0, măsurilor 
158.0,0,11.0, măsurilor 
158.0,0,11.0, măsurilor 
158.0,0,11.0, măsurilor 
158.0,0,11.0, măsurilor 
158.0,0,11.0, măsurilor 
158.0,0,11.0, măsurilor 
158.0,0,11.0, măsurilor 
158.0,0,11.0, măsurilor 
158.0,0,11.0, măsurilor 
158.0,1045,11.0, măsurilor 
158.0,55,17.0, reprezintă 
158.0,0,16.0, contracara 
158.0,100,16.0, contracara 
158.0,47,15.0, le 
158.0,46,14.0, a 
158.0,0,13.0, pentru 
158.0,107,13.0, pentru 
158.0,0,12.0, necesare 
158.0,0,12.0, necesare 
158.0,0,12.0, necesare 
158.0,0,12.0, necesare 
158.0,0,12.0, necesare 
158.0,0,12.0, necesare 
158.0,0,12.0, necesare 
158.0,0,12.0, necesare 
158.0,0,12.0, necesare 
158.0,0,12.0, necesare 
158.0,0,12.0, necesare 
158.0,0,12.0, necesare 
158.0,0,12.0, necesare 
158.0,0,12.0, necesare 
158.0,0,12.0, necesare 
158.0,0,12.0, necesare 
158.0,843,12.0, necesare 
158.0,0,13.0, pentru 
158.0,0,13.0, pentru 
158.0,0,13.0, pentru 
158.0,0,13.0, pentru 
158.0,257,13.0, pentru 
158.0,0,14.0, a 
158.0,0,14.0, a 
158.0,0,14.0, a 
158.0,0,14.0, a 
158.0,0,14.0, a 
158.0,300,14.0, a 
158.0,50,15.0, le 
158.0,0,16.0, contracara 
158.0,0,16.0, contracara 
158.0,0,16.0, contracara 
158.0,0,16.0, contracara 
158.0,0,16.0, contracara 
158.0,0,16.0, contracara 
158.0,0,16.0, contracara 
158.0,0,16.0, contracara 
158.0,0,16.0, contracara 
158.0,0,16.0, contracara 
158.0,0,16.0, contracara 
158.0,0,16.0, contracara 
158.0,0,16.0, contracara 
158.0,0,16.0, contracara 
158.0,0,16.0, contracara 
158.0,798,16.0, contracara 
158.0,0,17.0, reprezintă 
158.0,0,17.0, reprezintă 
158.0,0,17.0, reprezintă 
158.0,0,17.0, reprezintă 
158.0,0,17.0, reprezintă 
158.0,0,17.0, reprezintă 
158.0,0,17.0, reprezintă 
158.0,0,17.0, reprezintă 
158.0,0,17.0, reprezintă 
158.0,0,17.0, reprezintă 
158.0,0,17.0, reprezintă 
158.0,0,17.0, reprezintă 
158.0,0,17.0, reprezintă 
158.0,0,17.0, reprezintă 
158.0,0,17.0, reprezintă 
158.0,0,17.0, reprezintă 
