responseTime,Index,mousePositionX,mousePositionY,Word,wordPositionTop,wordPositionLeft,wordPositionBottom,wordPositionRight,response,experiment_start_time,experiment_end_time,experiment_duration
,,,,,,,,,,,,
1799,-1,347,230,NA,NA,NA,NA,NA,NA,1740035208062,1740039019278,3811216
13999,23,790,170,sistemului,149.16667175293,774.033325195313,173.966659545898,865.616653442383,NA,null,null,null
14061,23,790,170,sistemului,149.16667175293,774.033325195313,173.966659545898,865.616653442383,NA,null,null,null
14123,23,795,170,sistemului,149.16667175293,774.033325195313,173.966659545898,865.616653442383,NA,null,null,null
14185,23,799,170,sistemului,149.16667175293,774.033325195313,173.966659545898,865.616653442383,NA,null,null,null
14246,23,804,170,sistemului,149.16667175293,774.033325195313,173.966659545898,865.616653442383,NA,null,null,null
14308,23,810,170,sistemului,149.16667175293,774.033325195313,173.966659545898,865.616653442383,NA,null,null,null
14369,23,818,170,sistemului,149.16667175293,774.033325195313,173.966659545898,865.616653442383,NA,null,null,null
14431,23,824,171,sistemului,149.16667175293,774.033325195313,173.966659545898,865.616653442383,NA,null,null,null
14492,23,828,171,sistemului,149.16667175293,774.033325195313,173.966659545898,865.616653442383,NA,null,null,null
14553,23,834,171,sistemului,149.16667175293,774.033325195313,173.966659545898,865.616653442383,NA,null,null,null
14615,23,847,171,sistemului,149.16667175293,774.033325195313,173.966659545898,865.616653442383,NA,null,null,null
14675,24,877,171,de,149.16667175293,865.61669921875,173.966659545898,891.516693115234,NA,null,null,null
14738,24,886,171,de,149.16667175293,865.61669921875,173.966659545898,891.516693115234,NA,null,null,null
14799,24,889,171,de,149.16667175293,865.61669921875,173.966659545898,891.516693115234,NA,null,null,null
14861,25,893,171,sporuri,149.16667175293,891.516662597656,173.966659545898,957.399993896484,NA,null,null,null
14924,25,904,171,sporuri,149.16667175293,891.516662597656,173.966659545898,957.399993896484,NA,null,null,null
14986,25,908,171,sporuri,149.16667175293,891.516662597656,173.966659545898,957.399993896484,NA,null,null,null
15046,25,913,171,sporuri,149.16667175293,891.516662597656,173.966659545898,957.399993896484,NA,null,null,null
15107,25,920,171,sporuri,149.16667175293,891.516662597656,173.966659545898,957.399993896484,NA,null,null,null
15168,25,924,171,sporuri,149.16667175293,891.516662597656,173.966659545898,957.399993896484,NA,null,null,null
15230,25,934,171,sporuri,149.16667175293,891.516662597656,173.966659545898,957.399993896484,NA,null,null,null
15291,25,949,171,sporuri,149.16667175293,891.516662597656,173.966659545898,957.399993896484,NA,null,null,null
15352,26,958,171,din,149.16667175293,957.400024414063,173.966659545898,988.916702270508,NA,null,null,null
15405,26,969,171,din,149.16667175293,957.400024414063,173.966659545898,988.916702270508,NA,null,null,null
15472,26,982,171,din,149.16667175293,957.400024414063,173.966659545898,988.916702270508,NA,null,null,null
15538,27,989,171,America.,149.16667175293,988.916687011719,173.966659545898,1063.03335571289,NA,null,null,null
15589,27,1001,171,America.,149.16667175293,988.916687011719,173.966659545898,1063.03335571289,NA,null,null,null
15639,27,1007,171,America.,149.16667175293,988.916687011719,173.966659545898,1063.03335571289,NA,null,null,null
15704,27,1018,171,America.,149.16667175293,988.916687011719,173.966659545898,1063.03335571289,NA,null,null,null
15755,27,1024,171,America.,149.16667175293,988.916687011719,173.966659545898,1063.03335571289,NA,null,null,null
15806,27,1026,173,America.,149.16667175293,988.916687011719,173.966659545898,1063.03335571289,NA,null,null,null
15872,-1,1026,185,NA,NA,NA,NA,NA,NA,null,null,null
21286,NA,NA,NA,NA,NA,NA,NA,NA,Nu,null,null,null
764,-1,357,260,NA,NA,NA,NA,NA,NA,null,null,null
826,-1,350,212,NA,NA,NA,NA,NA,NA,null,null,null
888,-1,350,189,NA,NA,NA,NA,NA,NA,null,null,null
949,-1,355,174,NA,NA,NA,NA,NA,NA,null,null,null
1011,-1,366,154,NA,NA,NA,NA,NA,NA,null,null,null
1073,-1,374,147,NA,NA,NA,NA,NA,NA,null,null,null
1136,-1,382,142,NA,NA,NA,NA,NA,NA,null,null,null
1197,-1,387,139,NA,NA,NA,NA,NA,NA,null,null,null
1259,-1,396,133,NA,NA,NA,NA,NA,NA,null,null,null
1320,0,415,122,Oficialii,109.16667175293,407.466674804688,133.966659545898,474.366683959961,NA,null,null,null
1381,0,417,121,Oficialii,109.16667175293,407.466674804688,133.966659545898,474.366683959961,NA,null,null,null
1444,0,417,121,Oficialii,109.16667175293,407.466674804688,133.966659545898,474.366683959961,NA,null,null,null
1506,0,417,121,Oficialii,109.16667175293,407.466674804688,133.966659545898,474.366683959961,NA,null,null,null
1568,0,417,121,Oficialii,109.16667175293,407.466674804688,133.966659545898,474.366683959961,NA,null,null,null
1630,0,417,121,Oficialii,109.16667175293,407.466674804688,133.966659545898,474.366683959961,NA,null,null,null
